candidate_id	best_target	similarity	citation_match	bib_match	evidence_url	confidence_note	band
aci-materials-journal	elsevier-with-titles	1.0000	0.0000	0.0000	https://www.concrete.org/publications/acimaterialsjournal/submittingtoacijournals.aspx	found in CSL metadata	alias
acm-sig-proceedings-long-author-list	elsevier-with-titles	1.0000	0.6818	0.0000	https://www.acm.org/publications/authors/reference-formatting	found in CSL metadata	alias
acm-sigchi-proceedings-extended-abstract-format	association-for-computing-machinery	1.0000	0.6818	0.0000	http://www.sigchi.org/publications/chipubform/sigchi-extended-abstracts-format-2016/view	found in CSL metadata	alias
acm-sigchi-proceedings	association-for-computing-machinery	1.0000	0.6818	0.0000	http://cscw.acm.org/2016/submit/sigchi-word-proceedings.zip	found in CSL metadata	alias
acm-siggraph	karger-journals-author-date	1.0000	0.0909	0.0000	http://www.siggraph.org/publications/instructions.pdf	found in CSL metadata	alias
acta-anaesthesiologica-scandinavica	elsevier-with-titles	1.0000	0.0000	0.0000	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576/homepage/ForAuthors.html	found in CSL metadata	alias
acta-chirurgiae-orthopaedicae-et-traumatologiae-cechoslovaca	elsevier-with-titles	1.0000	0.0000	0.0000	http://www.achot.cz/instruction.php	found in CSL metadata	alias
acta-hydrotechnica	elsevier-harvard	1.0000	1.0000	0.0000	https://actahydrotechnica.fgg.uni-lj.si/en/instructions	found in CSL metadata	alias
acta-medica-peruana	elsevier-with-titles	1.0000	1.0000	0.0000	https://amp.cmp.org.pe/index.php/AMP/instructionsforauthors	found in CSL metadata	alias
acta-neurochirurgica	elsevier-with-titles	1.0000	0.6818	0.0000	http://www.springer.com/medicine/surgery/journal/701	found in CSL metadata	alias
acta-orthopaedica-belgica	elsevier-with-titles	1.0000	0.0000	0.0000	http://journals.sfu.ca/actaob/index.php/actaob/about/submissions#authorGuidelines	found in CSL metadata	alias
acta-orthopaedica	elsevier-with-titles	1.0000	0.0000	0.0000	https://actaorthop.org/actao/instructionsforauthors	found in CSL metadata	alias
acta-paediatrica	elsevier-with-titles	1.0000	0.0000	0.0000	https://onlinelibrary.wiley.com/page/journal/16512227/homepage/forauthors.html	found in CSL metadata	alias
acta-palaeontologica-polonica	springer-basic-author-date	1.0000	0.6818	0.0000	http://www.app.pan.pl/instruction.html	found in CSL metadata	alias
acta-pharmaceutica-sinica-b	elsevier-with-titles	1.0000	0.0000	0.0000	http://www.elsevier.com/journals/acta-pharmaceutica-sinica-b/2211-3835/guide-for-authors	found in CSL metadata	alias
acta-pharmaceutica	microbiology-society	1.0000	0.0000	0.0000	http://public.carnet.hr/acphee/Inst.html	found in CSL metadata	alias
acta-physica-sinica	elsevier-with-titles	1.0000	1.0000	0.0000	https://wulixb.iphy.ac.cn/news/tougaoxuzhi.htm	found in CSL metadata	alias
acta-physiologica	elsevier-with-titles	1.0000	0.0000	0.0000	https://onlinelibrary.wiley.com/page/journal/17481716/homepage/forauthors.html	found in CSL metadata	alias
acta-polytechnica	ieee	1.0000	0.4545	0.0000	http://www.cvut.cz/en/facilities/ph/ap/resolveuid/a1a4420631dd2b61eff7a823f4b4f949	found in CSL metadata	alias
acta-radiologica	microbiology-society	1.0000	0.0000	0.0000	https://uk.sagepub.com/en-gb/eur/journal/acta-radiologica#submission-guidelines	found in CSL metadata	alias
